year,month,day,hour,sim_flow_cfs,flow_cfs
1990,6,23,0,67.775410870606,77.1
1990,6,23,6,68.54884634453995,76
1990,6,23,12,67.84723035345768,77.1
1990,6,23,18,67.13220108912634,74.9
1990,6,24,0,65.69713462708934,73.9
1990,6,24,6,64.33749387198873,74.9
1990,6,24,12,63.620714912040455,74.9
1990,6,24,18,62.9204414712008,70.8
1990,6,25,0,61.5425727849336,66.8
1990,6,25,6,61.93485283583013,67.8
1990,6,25,12,61.35713665684652,66.8
1990,6,25,18,60.76408848471233,64.9
1990,6,26,0,59.48565127998448,61.1
1990,6,26,6,59.40724541213905,58.4
1990,6,26,12,58.88035979214334,56.7
1990,6,26,18,58.33935964235356,52.4
1990,6,27,0,57.129291048069106,51.6
1990,6,27,6,56.044523478891804,53.2
1990,6,27,12,55.55523354603106,52.4
1990,6,27,18,55.05653519330984,49.2
1990,6,28,0,53.90581446835745,50
1990,6,28,6,50.34251075723199,50.8
1990,6,28,12,49.72408290147841,50.8
1990,6,28,18,49.16491348601656,46.9
1990,6,29,0,48.01884166654466,46.9
1990,6,29,6,44.810039163106936,46.1
1990,6,29,12,44.24218958816938,46.1
1990,6,29,18,43.724451327292954,42.5
1990,6,30,0,42.627159211273366,41.7
1990,6,30,6,41.91909338022832,42.5
1990,6,30,12,41.4003988538317,42.5
1990,6,30,18,40.921921803152316,39
1990,7,1,0,39.87090439513523,37.7
1990,7,1,6,46.14561569348922,39
1990,7,1,12,46.097232045297986,39
1990,7,1,18,46.05211361759741,36.4
1990,7,2,0,45.85855627601609,36.4
1990,7,2,6,51.629525268182036,37.7
1990,7,2,12,51.61347179705274,37.7
1990,7,2,18,51.27433579370056,36.4
1990,7,3,0,50.23323629004484,36.4
1990,7,3,6,47.034801865998546,35.7
1990,7,3,12,46.5688809570901,35.7
1990,7,3,18,46.17045000749199,34.5
1990,7,4,0,45.231406494641234,34.5
1990,7,4,6,39.718710512687,35.7
1990,7,4,12,39.165543591852455,35.7
1990,7,4,18,38.72508002214238,33.3
1990,7,5,0,37.79030575434872,33.3
1990,7,5,6,37.12118363395635,36.4
1990,7,5,12,36.805378405485214,36.4
1990,7,5,18,36.50864103871649,33.3
1990,7,6,0,35.65889572150216,32.7
1990,7,6,6,36.62212072836475,35.1
1990,7,6,12,36.4217260989748,35.1
1990,7,6,18,36.19762510168353,31.5
1990,7,7,0,35.398342564419735,33.3
1990,7,7,6,38.815996267871824,34.5
1990,7,7,12,38.76597788634136,33.9
1990,7,7,18,38.637614553264456,32.7
1990,7,8,0,37.89878991339603,33.3
1990,7,8,6,39.998658550715575,34.5
1990,7,8,12,40.10587759239705,35.1
1990,7,8,18,40.19166343513771,34.5
1990,7,9,0,39.86500094400482,34.5
1990,7,9,6,37.730454145895465,35.1
1990,7,9,12,37.58072731580013,41.7
1990,7,9,18,37.82608649643524,43.9
1990,7,10,0,37.181059468992274,46.1
1990,7,10,6,32.86872160329938,48.4
1990,7,10,12,32.28050036025961,50
1990,7,10,18,31.801539276708013,46.1
1990,7,11,0,30.8905892559348,44.6
1990,7,11,6,26.99996378708653,45.4
1990,7,11,12,26.56689014228563,44.6
1990,7,11,18,26.241918639570784,41.7
1990,7,12,0,25.45760152282216,41
1990,7,12,6,26.555765211225136,41.7
1990,7,12,12,26.530576817880757,41.7
1990,7,12,18,26.631794535197074,40.4
1990,7,13,0,26.12735394373756,39.7
1990,7,13,6,30.208527273954502,39.7
1990,7,13,12,30.64548242821715,39.7
1990,7,13,18,30.688594056116102,38.3
1990,7,14,0,29.896381475943414,32.7
1990,7,14,6,28.374791519550854,33.3
1990,7,14,12,27.98679187702001,35.7
1990,7,14,18,27.672271747565574,32.7
1990,7,15,0,26.89322602484667,31.5
1990,7,15,6,24.197260954542855,37.7
1990,7,15,12,23.893772392716926,40.4
1990,7,15,18,23.659114620762395,40.4
1990,7,16,0,22.950221690132906,39
1990,7,16,6,22.892660315614634,40.4
1990,7,16,12,22.695247373085202,40.4
1990,7,16,18,22.522260760735065,37
1990,7,17,0,21.590575426535736,35.7
1990,7,17,6,27.09942179528114,37
1990,7,17,12,27.329436295637194,38.3
1990,7,17,18,27.40299188664865,35.7
1990,7,18,0,27.167016179351997,35.1
1990,7,18,6,30.416496942673092,35.1
1990,7,18,12,30.4280921855962,37.7
1990,7,18,18,30.84986127720429,36.4
1990,7,19,0,30.19045001392729,36.4
1990,7,19,6,32.48251351120137,38.3
1990,7,19,12,33.11862876802298,39
1990,7,19,18,33.38478485945278,38.3
1990,7,20,0,32.311879225093584,35.1
1990,7,20,6,30.875709491775197,37.7
1990,7,20,12,31.14516330305397,38.3
1990,7,20,18,30.98485694928103,35.7
1990,7,21,0,29.739810311807545,37
1990,7,21,6,26.316663480188545,37.7
1990,7,21,12,25.791367753024893,38.3
1990,7,21,18,25.429180168343244,36.4
1990,7,22,0,24.403119118704737,34.5
1990,7,22,6,23.545491694592094,35.7
1990,7,22,12,23.458046126648334,36.4
1990,7,22,18,23.45812251496421,35.7
1990,7,23,0,22.699923090419027,33.9
1990,7,23,6,24.70254360354211,33.9
1990,7,23,12,24.691705392008352,33.9
1990,7,23,18,24.570402490270737,32.1
1990,7,24,0,23.642879012153266,31.5
1990,7,24,6,25.65296701997424,32.1
1990,7,24,12,25.615153036612874,32.7
1990,7,24,18,25.552354979800526,30.9
1990,7,25,0,24.698876538758533,29.8
1990,7,25,6,26.011880351509753,30.9
1990,7,25,12,25.974130693324106,32.1
1990,7,25,18,25.913975949159223,31.5
1990,7,26,0,25.069177529451807,30.4
1990,7,26,6,27.176222421878464,32.1
1990,7,26,12,27.25244906361864,32.1
1990,7,26,18,27.260190196048775,32.1
1990,7,27,0,26.448674835715025,31.5
1990,7,27,6,23.463997412345805,32.1
1990,7,27,12,23.220672691417747,32.7
1990,7,27,18,23.049041814819915,30.9
1990,7,28,0,22.16869142752136,31.5
1990,7,28,6,19.98365559452283,32.1
1990,7,28,12,19.85175996985803,33.3
1990,7,28,18,19.839546372607906,32.1
1990,7,29,0,19.047305655357086,31.5
1990,7,29,6,16.907983044683135,29.8
1990,7,29,12,16.690566563926765,29.8
1990,7,29,18,16.525899905645744,28.2
1990,7,30,0,15.658682488538709,27.7
1990,7,30,6,15.643976826874287,28.2
1990,7,30,12,15.524357875389441,28.2
1990,7,30,18,15.42607010367157,27.7
1990,7,31,0,14.602497245760674,27.7
1990,7,31,6,18.38775380108588,28.2
1990,7,31,12,18.48886847732347,28.2
1990,7,31,18,21.343361143504104,27.1
1990,8,1,0,22.443180442600564,31.5
1990,8,1,6,25.36006347570106,33.3
1990,8,1,12,24.665222606063303,42.5
1990,8,1,18,23.8601183078233,37.7
1990,8,2,0,22.43666286564229,36.4
1990,8,2,6,20.644125946666087,35.1
1990,8,2,12,20.31671992707428,34.5
1990,8,2,18,20.103480859094446,31.5
1990,8,3,0,19.194530659828132,31.5
