month,basin,zone,lower,upper,variable
7,ARWO3,ARWO3-1,4.53334755,15.9532849771429,map
8,ARWO3,ARWO3-1,5.58492025,20.78998636,map
9,ARWO3,ARWO3-1,14.46596675,27.2340519942857,map
10,ARWO3,ARWO3-1,50.1084469,70.6029351028571,map
11,ARWO3,ARWO3-1,126.822049094118,166.380579847059,map
12,ARWO3,ARWO3-1,165.419061352941,221.866609411765,map
1,AUBW1,AUBW1-1,161.329571022857,245.283878965714,map
2,AUBW1,AUBW1-1,106.816263017143,175.589816097143,map
3,AUBW1,AUBW1-1,125.36890344,193.833909657143,map
4,AUBW1,AUBW1-1,103.614589388571,152.270397588571,map
5,AUBW1,AUBW1-1,84.77228664,121.729822217143,map
6,AUBW1,AUBW1-1,68.2461460285715,94.35159184,map
7,AUBW1,AUBW1-1,28.58869695,41.5981017885714,map
8,AUBW1,AUBW1-1,31.48584,43.98210025,map
9,AUBW1,AUBW1-1,57.3876199028571,86.3820820342857,map
10,AUBW1,AUBW1-1,110.283419622857,167.452626377143,map
11,AUBW1,AUBW1-1,191.106991270588,274.256517182353,map
12,AUBW1,AUBW1-1,154.639656952941,228.525746835294,map
1,AURO3,AURO3-1,166.1193401,241.18769136,map
2,AURO3,AURO3-1,127.4182364,196.701862845714,map
3,AURO3,AURO3-1,141.80372325,213.07731324,map
4,AURO3,AURO3-1,103.97984665,166.344382285714,map
5,AURO3,AURO3-1,73.7046151,118.980071194286,map
6,AURO3,AURO3-1,49.32876215,82.2357221714286,map
7,AURO3,AURO3-1,12.77365365,25.7615820628571,map
8,AURO3,AURO3-1,12.89266535,26.50796324,map
9,AURO3,AURO3-1,38.2126363,66.0152669314286,map
10,AURO3,AURO3-1,91.52644255,147.757991794286,map
11,AURO3,AURO3-1,185.166712694118,265.565114552941,map
12,AURO3,AURO3-1,193.085006558824,265.62088772353,map
1,BCDW1,BCDW1-1,163.7130457,227.428550548571,map
2,BCDW1,BCDW1-1,117.74342085,170.234133205714,map
3,BCDW1,BCDW1-1,132.5981727,193.771076588571,map
4,BCDW1,BCDW1-1,95.27234565,153.823829657143,map
5,BCDW1,BCDW1-1,69.40391885,112.33791096,map
6,BCDW1,BCDW1-1,49.45043196,82.2382447542857,map
7,BCDW1,BCDW1-1,16.1241613,32.9445090228571,map
8,BCDW1,BCDW1-1,19.53940085,35.5378040285714,map
9,BCDW1,BCDW1-1,42.97709845,73.0548377428572,map
10,BCDW1,BCDW1-1,102.11549935,152.519398868571,map
11,BCDW1,BCDW1-1,189.482575422857,266.467042405882,map
12,BCDW1,BCDW1-1,162.264322954286,241.970557011765,map
1,BCLO3,BCLO3-1,239.985984702857,386.133625044444,map
2,BCLO3,BCLO3-1,189.85129416,302.897710744444,map
3,BCLO3,BCLO3-1,200.565841474286,308.211906505556,map
4,BCLO3,BCLO3-1,155.4131766,235.29119185,map
5,BCLO3,BCLO3-1,106.01674885,176.054705322222,map
6,BCLO3,BCLO3-1,69.9607694,121.169664244444,map
7,BCLO3,BCLO3-1,13.5085455,34.4576037142857,map
8,BCLO3,BCLO3-1,17.14272035,31.5642730228572,map
9,BCLO3,BCLO3-1,53.0105747,89.5554194228572,map
10,BCLO3,BCLO3-1,132.023612725714,195.70412345,map
11,BCLO3,BCLO3-1,258.953333188235,419.424814474286,map
12,BCLO3,BCLO3-1,267.083041711765,434.852093028571,map
1,BDDI1,BDDI1-1,25.1876639828571,66.4262802971429,map
2,BDDI1,BDDI1-1,22.0891608,53.4210884114286,map
3,BDDI1,BDDI1-1,30.2477315142857,64.1190908914286,map
4,BDDI1,BDDI1-1,23.7981744,51.2281177257143,map
5,BDDI1,BDDI1-1,27.11813855,49.6710774057143,map
6,BDDI1,BDDI1-1,11.36002935,24.9293133257143,map
7,BDDI1,BDDI1-1,4.4507785,9.70980193333333,map
8,BDDI1,BDDI1-1,2.55419225,10.4102364457143,map
9,BDDI1,BDDI1-1,10.9753781,20.7379301485714,map
10,BDDI1,BDDI1-1,17.350867,36.2254074285714,map
11,BDDI1,BDDI1-1,28.9220013529412,64.3426069,map
12,BDDI1,BDDI1-1,28.8307899529412,76.2753371470588,map
1,BEAO3,BEAO3-1,199.412254028571,445.6495659,map
2,BEAO3,BEAO3-1,161.280350177143,415.198908544444,map
3,BEAO3,BEAO3-1,176.319206125714,359.700491333333,map
